,channel_width,channel_length,interval,cond_entropy,efficiency,bitrate_per_min,bitrate_per_hour
0,6,100,97,0.31904575545103603,0.680954244548964,0.007020146851020248,0.4212088110612149
1,6,100,100,0.2978216645515131,0.702178335448487,0.00702178335448487,0.42130700126909215
2,6,100,103,0.277147223791884,0.722852776208116,0.007017988118525399,0.4210792871115239
3,6,100,106,0.24680370931673792,0.7531962906832621,0.00710562538380436,0.4263375230282616
4,6,100,109,0.2124354249373442,0.7875645750626558,0.007225363073969319,0.43352178443815914
5,6,100,113,0.18500831662280295,0.8149916833771971,0.007212315782099089,0.43273894692594533
6,6,100,116,0.16314423536426673,0.8368557646357333,0.007214273833066666,0.432856429984
7,6,100,119,0.13902527111918356,0.8609747288808165,0.007235081755300979,0.43410490531805873
8,6,100,123,0.12449651671613411,0.8755034832838658,0.007117914498242812,0.4270748698945687
9,6,100,127,0.11029594757200774,0.8897040524279922,0.007005543719905451,0.42033262319432707
10,6,100,131,0.09411267280618384,0.9058873271938161,0.006915170436594016,0.414910226195641
11,6,300,116,0.3913502915896722,0.6086497084103277,0.005246980244916618,0.3148188146949971
12,6,300,120,0.34097614155952,0.65902385844048,0.005491865487004,0.32951192922024
13,6,300,124,0.3135476721495516,0.6864523278504484,0.005535905869761681,0.33215435218570083
14,6,300,127,0.3032450348586785,0.6967549651413215,0.005486259568041902,0.32917557408251413
15,6,300,131,0.25850053336910145,0.7414994666308985,0.005660301271991592,0.33961807631949553
16,6,300,135,0.24079750869578498,0.759202491304215,0.0056237221578090005,0.33742332946854003
17,6,300,140,0.2239698507682994,0.7760301492317006,0.005543072494512147,0.3325843496707288
18,6,300,144,0.20794477673059977,0.7920552232694003,0.005500383494926391,0.33002300969558346
19,6,300,148,0.19156725613831962,0.8084327438616804,0.005462383404470814,0.3277430042682488
20,6,300,153,0.170468468544068,0.829531531455932,0.005421774715398248,0.3253064829238949
21,6,300,157,0.15116152693563303,0.848838473064367,0.0054066144781169875,0.3243968686870192
22,6,1000,155,0.5106772835530418,0.48932271644695824,0.003156920751270698,0.18941524507624188
23,6,1000,160,0.4866479631522412,0.5133520368477589,0.003208450230298493,0.19250701381790958
24,6,1000,165,0.46399320121213006,0.5360067987878699,0.003248526053259818,0.19491156319558908
25,6,1000,170,0.4465111602385172,0.5534888397614828,0.0032558167044793103,0.19534900226875862
26,6,1000,175,0.4197194861870129,0.5802805138129872,0.003315888650359927,0.1989533190215956
27,6,1000,180,0.40809783344196965,0.5919021665580304,0.0032883453697668354,0.19730072218601014
28,6,1000,186,0.38709174713153066,0.6129082528684693,0.0032952056605831683,0.1977123396349901
29,6,1000,191,0.3719316248905226,0.6280683751094773,0.0032883161000496195,0.19729896600297717
30,6,1000,197,0.3617758341102374,0.6382241658897626,0.0032397165781206222,0.19438299468723733
31,6,1000,203,0.3505789172758306,0.6494210827241693,0.0031991186341092086,0.1919471180465525
32,6,1000,209,0.34394902007909905,0.6560509799209009,0.0031389999039277555,0.18833999423566533
